Age,Gender,Education,Scuba,Rec_fish,Spearfishing,Sailing,Snorkeling_freediving,Boating,Jetski,Kite_surfing,kayak,main_activity,main_activity_trim,visit_freq,habitat_1,habitat_2,habitat_3,seagrass_image,coral_image,seafood_ben,recr_fish_ben,biodiversity_ben,water_ben,beach_ben,cc_ben,her_ben,coast_ben,iconic_ben,sci_ben,edu_ben,seafood_cor,recr_fish_cor,biodiversity_cor,water_cor,beach_cor,cc_cor,her_cor,coast_cor,iconic_cor,sci_cor,edu_cor,seafood_sea,recr_fish_sea,biodiversity_sea,water_sea,beach_sea,cc_sea,her_sea,coast_sea,iconic_sea,sci_sea,edu_sea,wtp_cor,value1_cor,value5_cor,value10_cor,value50_cor,value100_cor,value500_cor,value1000_cor,min_cor,max_cor,wtp_sea,value1_sea,value5_sea,value10_sea,value50_sea,value100_sea,value500_sea,value1000_sea,min_sea,max_sea,cc_bel,threat_cor1,threat_cor2,threat_cor3,threat_sea1,threat_sea2,threat_sea3,cc_cor,cc_sea,p_d_cor,c_u_d_cor,r_f_cor,t_cor,d_cor,c_f_cor,c_t_cor,a_r_cor,i_a_cor,u_r_cor,p_d_sea,c_u_d_sea,r_f_sea,t_sea,d_sea,c_f_sea,c_t_sea,a_r_sea,i_a_sea,u_r_sea,sst_cor,o_a_cor,cyc_cor,w_q_cor,cots_cor,sst_sea,o_a_sea,cyc_sea,w_q_sea,cots_sea,soc_gbr,cul_gbr
18-24,F,Bachelor's degree,N,N,N,N,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Few times a year,Coral Reef,Mangroves,Open ocean,poor,very_poor,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,4,4,4,2,4,3,3,3,4,4,4,4,4,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba ,Scuba,About once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,F,Master's degree,Y,N,N,N,Y,N,N,N,N,Scuba ,Scuba,Once a month,Coral reefs,Macro algae ,Sea grass,very_poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Bachelor's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,M,Diploma,N,Y,Y,Y,Y,N,N,N,N,Sailing,Sailing,About once a week,Ocean,Coral,Islands,good,good,1,1,1,1,3,5,4,3,1,2,2,1,2,1,1,3,5,5,4,1,3,3,1,2,1,1,3,5,5,4,1,3,3,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,NA,Chemicals,Spills,Anchor damage,Chemicals,Spills,Bottom netting,no_threat,no_threat,3,3,1,2,5,4,4,3,1,2,3,3,1,2,5,4,4,3,1,2,1,1,1,1,5,1,1,1,1,5,4,4
45-54,M,Secondary Education,N,Y,Y,Y,Y,N,N,N,N,Sailing ,Sailing,Once a month,Sandy lagoon,Coral reef,Bommies,good,good,4,4,5,4,3,2,3,2,5,3,4,4,4,4,4,3,2,2,3,3,2,2,4,3,4,4,4,2,2,3,4,2,3,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Media,Pollution ,Crown of thorns ,Media ,River run off ,Silt,far_away,no_opinion,3,3,2,4,4,3,4,3,2,2,3,3,2,3,4,3,4,3,2,2,1,2,3,3,5,2,2,3,3,5,5,4
55-64,M,Diploma,N,Y,N,Y,N,N,N,N,N,Sailing,Sailing,Once a month,Reef,NA,NA,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Diploma,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Few times a year,Coral Reef,Sea grass,Kelp forests,very_poor,very_good,5,3,5,5,4,5,5,5,5,5,5,5,1,5,5,1,5,3,5,5,5,2,5,5,5,1,1,5,4,5,5,5,2,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,F,Diploma,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Few times a year,Coral,Rocks,Shells,very_good,good,5,1,5,5,5,1,3,5,5,5,5,1,3,5,5,3,1,1,5,5,5,5,1,3,5,5,3,1,1,5,5,5,5,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,M,Diploma,Y,Y,Y,Y,Y,N,N,N,N,Sailing ,Sailing,Once a year,Lagoon,Reef,Mangrove,very_poor,very_poor,5,5,5,5,4,5,2,3,5,3,3,5,5,5,5,3,5,1,3,5,3,3,5,5,5,5,3,5,1,4,5,3,3,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Global warming ,Coastal run-off ,Plastic waste,Coastal run-off,Trawling ,Propellers,immediate,no_opinion,4,4,4,4,3,4,2,5,2,5,5,5,2,3,5,3,5,5,3,5,5,5,5,5,4,4,4,5,5,1,5,4
45-54,M,Diploma,Y,Y,Y,Y,Y,N,N,N,N,Sailing ,Sailing,Once a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Technical College ,N,N,N,Y,N,N,N,N,N,Sailing ,Sailing,Every day,Coral,Coral fish,NA,good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Diploma,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,About once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,M,Secondary Education,N,Y,N,Y,Y,N,N,N,N,Sailing,Sailing,Few times a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Secondary Education,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Once a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Bachelor's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Few times a year,Restricted,General,Protected,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,F,Ph. D,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Few times a year,Coral Reef,Seagrass,Mangroves,very_poor,very_good,3,1,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,NA,Climate change,Water quality,Physical damage,Sediment,Nutrients,Physical damage,immediate,immediate,5,5,3,2,5,3,1,5,1,5,5,5,3,3,5,3,5,5,3,5,5,5,5,5,5,5,2,3,5,1,3,3
35-44,F,Ph. D,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Once a month,Coral Reef,Seagrass,Mangroves,very_poor,very_poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Secondary Education,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Less than once a year,Fish,Water,Coral ,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,$1,$5,NA,NA,NA,NA,NA,1,5,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Run off ,NA,NA,Run off,NA,NA,far_away,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3
55-64,M,Bachelor's degree,Y,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Few times a year,Sand cay,Reef,Islands,very_poor,very_poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,$100,$500,NA,100,500,Y,NA,NA,NA,NA,$100,$500,NA,100,500,NA,Vessel anchoring,Refuse,Fuel,Siltation,Public perception as not important ,NA,immediate,no_opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
65+,M,Diploma,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Every day,Marine parks,No go fishing zones,Open fishing areas,very_good,very_poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,Y,$1,$5,NA,NA,NA,NA,NA,1,5,NA,Over commercial fishing,Mining,Political ignorance,Commercial fishing,Dredging for profit,Ignorant greed of political parties,no_threat,no_threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
25-34,F,Master's degree,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Few times a year,Coral reefs,Estuaries,Rivers,good,very_poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,$10,$50,NA,NA,NA,10,50,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Pollution,Over fishing,NA,Pollution,NA,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
35-44,M,Bachelor's degree,N,Y,N,N,N,Y,N,N,N,Boating,Boating,Once a month,Coral reef,Mangroves ,Kelp,poor,poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,NA,Bleaching,Litter,Over fishing,Climate change,NA,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
45-54,F,Secondary Education,N,Y,N,N,N,Y,Y,N,N,Rec_fish,Rec_fish,Few times a year,Rocks,Trees,NA,very_poor,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,$1,NA,NA,$50,NA,NA,NA,1,50,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Plastic,Over fishing,Rubbish,Cyclones,Weather ,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
45-54,M,Secondary Education,N,Y,N,N,N,Y,Y,N,N,Rec_fish,Rec_fish,Few times a year,Coral reef ,Mangroves,Estuaries ,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Secondary Education,N,N,N,N,N,Y,N,N,N,Boating,Boating,Once a month,Reef,Mangroves,Islands,good,very_poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,$1,NA,NA,NA,$100,NA,NA,1,100,Y,NA,NA,NA,$50,$100,NA,NA,50,100,NA,Polution,People,Global warming,Boats,Dredging,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
25-34,M,Master's degree,N,N,N,N,N,Y,N,N,N,Boating,Boating,Once a year,Coral Reef,NA,NA,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,$50,$100,NA,NA,50,100,Y,NA,NA,NA,$50,$100,NA,NA,50,100,NA,People,Waste,Energy mining,People,Waste,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
55-64,M,Diploma,N,Y,N,Y,N,N,N,N,N,Rec_fish,Rec_fish,Once a month,Reef,NA,NA,good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Crown of thornes ,Pollution  from ships,NA,Ship pollution ,Prowlers ,NA,far_away,no_threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3
25-34,M,Bachelor's degree,N,N,N,N,N,Y,N,N,N,Rec_fish,Rec_fish,About once a week,Driving responsibly ,NA,NA,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Secondary Education,N,N,N,N,N,Y,N,N,N,Boating,Boating,Once a month,Reef ,Fish,NA,good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,$1,NA,NA,$50,NA,NA,NA,1,50,Y,$1,NA,NA,$50,NA,NA,NA,1,50,NA,Reef dieing,No fishing,No snorkeling ,Animals dieing,NA,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
55-64,M,Diploma,Y,Y,Y,Y,Y,N,Y,N,N,Sailing,Sailing,Once a month,Mangroves,Reef,NA,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Farming sugar cane,Commercial fshing,NA,Farming run off,NA,NA,no_opinion,no_opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
45-54,M,Secondary Education,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Once a year,Fish,Coral,Water,good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Oil,Sun,Cyclone ,Humans ,Pollution,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
55-64,F,Ph. D,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,About once a week,Coral reef,Seagrass,Coastal ,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,$100,$500,NA,100,500,Y,NA,NA,NA,NA,$100,$500,NA,100,500,NA,Global warming ,Ocean acidification ,Nutrient runoff,nutrients ,Disturbance ,Cyclones ,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
45-54,F,Bachelor's degree,N,Y,N,N,Y,Y,N,N,N,Rec_fish,Rec_fish,Few times a year,Coral,Reef fish ,Various fish species ,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Human destroy reef,NA,NA,Humans ,NA,NA,no_opinion,no_opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
25-34,M,Secondary Education,N,Y,N,N,Y,Y,Y,N,N,Jetski,Jetski,Once a month,Reef ,Marine park,NA,poor,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Pollution ,NA,NA,Pollution ,Population ,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3
35-44,F,Bachelor's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Few times a year,Coral bed,Sea grass,Anemone,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,NA,Global warming,NA,NA,Global warming,NA,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
25-34,M,Bachelor's degree,N,N,N,N,N,Y,N,N,N,Boating,Boating,Few times a year,Reef,Beach,Mangrove,very_poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Crown of thornes,NA,NA,Cyclone,NA,NA,far_away,far_away,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
25-34,M,Secondary Education,N,N,N,N,N,Y,Y,N,N,Jetski,Jetski,Few times a year,Trout,Fish,Coral,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,$10,$50,NA,NA,NA,10,50,Y,NA,NA,NA,$50,$100,NA,NA,50,100,NA,Bad boating people ,NA,NA,Not sure,NA,NA,no_opinion,no_opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
